"","artists_raw","names","artist_url"
"117","/bishop","bishop","http://www.kenyans.co.ke/bishop"
"118","/bishop-ben-bahati","bishop ben bahati","http://www.kenyans.co.ke/bishop-ben-bahati"
"119","/bishop-pius-muiru","bishop pius muiru","http://www.kenyans.co.ke/bishop-pius-muiru"
"120","/biyaki","biyaki","http://www.kenyans.co.ke/biyaki"
"121","/bizill","bizill","http://www.kenyans.co.ke/bizill"
"122","/blaqy","blaqy","http://www.kenyans.co.ke/blaqy"
"123","/blessed-jo","blessed jo","http://www.kenyans.co.ke/blessed-jo"
"124","/bmf","bmf","http://www.kenyans.co.ke/bmf"
"125","/bob-mbithi","bob mbithi","http://www.kenyans.co.ke/bob-mbithi"
"126","/bob-t","bob t","http://www.kenyans.co.ke/bob-t"
"127","/bobby","bobby","http://www.kenyans.co.ke/bobby"
"128","/bobby-mapesa","bobby mapesa","http://www.kenyans.co.ke/bobby-mapesa"
"129","/bobby-slic","bobby slic","http://www.kenyans.co.ke/bobby-slic"
"130","/bokole-boys","bokole boys","http://www.kenyans.co.ke/bokole-boys"
"131","/boneye","boneye","http://www.kenyans.co.ke/boneye"
"132","/bonny-muhali","bonny muhali","http://www.kenyans.co.ke/bonny-muhali"
"133","/boomba-clan","boomba clan","http://www.kenyans.co.ke/boomba-clan"
"134","/boony-mosh","boony mosh","http://www.kenyans.co.ke/boony-mosh"
"135","/boss-thee-mog","boss thee mog","http://www.kenyans.co.ke/boss-thee-mog"
"136","/brayo","brayo","http://www.kenyans.co.ke/brayo"
"137","/brian-chweya","brian chweya","http://www.kenyans.co.ke/brian-chweya"
"138","/brian-king","brian king","http://www.kenyans.co.ke/brian-king"
"139","/broki","broki","http://www.kenyans.co.ke/broki"
"140","/bronzeh","bronzeh","http://www.kenyans.co.ke/bronzeh"
"141","/brotherhood","brotherhood","http://www.kenyans.co.ke/brotherhood"
"142","/broulax","broulax","http://www.kenyans.co.ke/broulax"
"143","/brown-mauzo","brown mauzo","http://www.kenyans.co.ke/brown-mauzo"
"144","/bubbah","bubbah","http://www.kenyans.co.ke/bubbah"
"145","/bunjo","bunjo","http://www.kenyans.co.ke/bunjo"
"146","/busy-bee","busy bee","http://www.kenyans.co.ke/busy-bee"
"147","/c-sey","c sey","http://www.kenyans.co.ke/c-sey"
"148","/c2k","c2k","http://www.kenyans.co.ke/c2k"
"149","/cabassa","cabassa","http://www.kenyans.co.ke/cabassa"
"150","/caltoz","caltoz","http://www.kenyans.co.ke/caltoz"
"151","/calvo-mistari","calvo mistari","http://www.kenyans.co.ke/calvo-mistari"
"152","/camouflage","camouflage","http://www.kenyans.co.ke/camouflage"
"153","/camp-david","camp david","http://www.kenyans.co.ke/camp-david"
"154","/camp-mulla","camp mulla","http://www.kenyans.co.ke/camp-mulla"
"155","/cannibal","cannibal","http://www.kenyans.co.ke/cannibal"
"156","/cara-feral","cara feral","http://www.kenyans.co.ke/cara-feral"
"157","/carl-truth","carl truth","http://www.kenyans.co.ke/carl-truth"
"158","/carol-jackson","carol jackson","http://www.kenyans.co.ke/carol-jackson"
"159","/carol-nanjie","carol nanjie","http://www.kenyans.co.ke/carol-nanjie"
"160","/carol-ngochi","carol ngochi","http://www.kenyans.co.ke/carol-ngochi"
"161","/carol-njagi","carol njagi","http://www.kenyans.co.ke/carol-njagi"
"162","/carol-wanjiru","carol wanjiru","http://www.kenyans.co.ke/carol-wanjiru"
"163","/cartel","cartel","http://www.kenyans.co.ke/cartel"
"164","/cash-era","cash era","http://www.kenyans.co.ke/cash-era"
"165","/cate-githui","cate githui","http://www.kenyans.co.ke/cate-githui"
"166","/catherine-mutisya","catherine mutisya","http://www.kenyans.co.ke/catherine-mutisya"
"167","/cathy-g","cathy g","http://www.kenyans.co.ke/cathy-g"
"168","/cathy-njeri","cathy njeri","http://www.kenyans.co.ke/cathy-njeri"
"169","/caxton-mutambuki","caxton mutambuki","http://www.kenyans.co.ke/caxton-mutambuki"
"170","/cece-sagini","cece sagini","http://www.kenyans.co.ke/cece-sagini"
"171","/cecilia-nyokabi","cecilia nyokabi","http://www.kenyans.co.ke/cecilia-nyokabi"
"172","/cess-johnson","cess johnson","http://www.kenyans.co.ke/cess-johnson"
"173","/chamrob","chamrob","http://www.kenyans.co.ke/chamrob"
"174","/chantelle","chantelle","http://www.kenyans.co.ke/chantelle"
"175","/chanzy-cream-craize","chanzy cream craize","http://www.kenyans.co.ke/chanzy-cream-craize"
"176","/chapatito","chapatito","http://www.kenyans.co.ke/chapatito"
"177","/charity-tajeu","charity tajeu","http://www.kenyans.co.ke/charity-tajeu"
"178","/charlene","charlene","http://www.kenyans.co.ke/charlene"
"179","/charles-kingori","charles kingori","http://www.kenyans.co.ke/charles-kingori"
"180","/charles-wachira","charles wachira","http://www.kenyans.co.ke/charles-wachira"
"181","/cherie","cherie","http://www.kenyans.co.ke/cherie"
"182","/chess","chess","http://www.kenyans.co.ke/chess"
"183","/chief-mufasa","chief mufasa","http://www.kenyans.co.ke/chief-mufasa"
"184","/chifu-tamurai","chifu tamurai","http://www.kenyans.co.ke/chifu-tamurai"
"185","/chiku","chiku","http://www.kenyans.co.ke/chiku"
"186","/chikuzee","chikuzee","http://www.kenyans.co.ke/chikuzee"
"187","/chikwaza","chikwaza","http://www.kenyans.co.ke/chikwaza"
"188","/chimano","chimano","http://www.kenyans.co.ke/chimano"
"189","/chit-chat","chit chat","http://www.kenyans.co.ke/chit-chat"
"190","/chiwawa","chiwawa","http://www.kenyans.co.ke/chiwawa"
"191","/chizi","chizi","http://www.kenyans.co.ke/chizi"
"192","/choku","choku","http://www.kenyans.co.ke/choku"
"193","/chomba","chomba","http://www.kenyans.co.ke/chomba"
