"","datesong","mean_views","mean_score","min_views","max_views","mean_likes","min_likes","max_likes","vid_name","ytub_url","art_name","d_posted","cartist","colab"
"1","98_https://www.youtube.com/watch?v=OjclGogOWB8",1288.70072992701,0,1274,1299,17,17,17,"Siku Poa","https://www.youtube.com/watch?v=OjclGogOWB8","Masha  Ala-C",1396040400,"masha","no"
"2","100_https://www.youtube.com/watch?v=TG6GNFDh4iU",74025.6350364963,3,73589,74451,0,0,0,"Change","https://www.youtube.com/watch?v=TG6GNFDh4iU","Sanaipei  Ala-C 
Alpha Msanii
Avril 
Jimw@t 
Jua Cali 
King Kaka
Marya",1361566800,"sanaipei","yes"
"3","100_https://www.youtube.com/watch?v=TG6GNFDh4iU",74025.6350364963,3,73589,74451,0,0,0,"Change","https://www.youtube.com/watch?v=TG6GNFDh4iU","Sanaipei  Ala-C 
Alpha Msanii
Avril 
Jimw@t 
Jua Cali 
King Kaka
Marya",1361566800,"cali","yes"
"1007","1050_https://www.youtube.com/watch?v=mZblhJcApIk",5546.15441176471,0,5409,5690,12,12,12,"Shilingi Ya Kenya / Haijalishi Remix","https://www.youtube.com/watch?v=mZblhJcApIk","Daddy Owen",1336078800,"daddyowen","no"
"1008","1051_https://www.youtube.com/watch?v=C9CG7xE9Drc",3563.64705882353,0,3525,3609,5,5,5,"Nitty Gritty","https://www.youtube.com/watch?v=C9CG7xE9Drc","Daddy OwenPo-Q-pine",1336078800,"daddy","no"
"1009","1052_https://www.youtube.com/watch?v=6iw4NJgeyyM",5993.85294117647,0,5943,6046,8,8,8,"Gospel DJs","https://www.youtube.com/watch?v=6iw4NJgeyyM","Daddy Owen Dunco 
Ngashville",1336078800,"dunco","yes"
"1010","1052_https://www.youtube.com/watch?v=6iw4NJgeyyM",5993.85294117647,0,5943,6046,8,8,8,"Gospel DJs","https://www.youtube.com/watch?v=6iw4NJgeyyM","Daddy Owen Dunco 
Ngashville",1336078800,"daddyowen","yes"
"1011","1053_https://www.youtube.com/watch?v=ZuYTGgbymf8",2425.40441176471,0,2414,2439,6,6,6,"Saviour","https://www.youtube.com/watch?v=ZuYTGgbymf8","Daddy Owen Slay Z",1336078800,"daddyowen","yes"
"1012","1053_https://www.youtube.com/watch?v=ZuYTGgbymf8",2425.40441176471,0,2414,2439,6,6,6,"Saviour","https://www.youtube.com/watch?v=ZuYTGgbymf8","Daddy Owen Slay Z",1336078800,"slayz","yes"
"1013","1054_https://www.youtube.com/watch?v=w5d19DYCiHY",9953.59558823529,0,9834,10080,19,19,19,"Yesu","https://www.youtube.com/watch?v=w5d19DYCiHY","Daddy Owen She-lah",1336078800,"daddyowen","no"
"1014","1055_https://www.youtube.com/watch?v=yRsKtfDqljo",23075.0588235294,1,22801,23377,63.9411764705882,63,66,"Hafungi Macho","https://www.youtube.com/watch?v=yRsKtfDqljo","Willy  Daddy Owen
Dunco",1336078800,"willy","yes"
"1015","1055_https://www.youtube.com/watch?v=yRsKtfDqljo",23075.0588235294,1,22801,23377,63.9411764705882,63,66,"Hafungi Macho","https://www.youtube.com/watch?v=yRsKtfDqljo","Willy  Daddy Owen
Dunco",1336078800,"daddy","yes"
"1016","1056_https://www.youtube.com/watch?v=SMQzbcp3-rg",20867.8455882353,1,20342,21457,61.2867647058824,59,63,"Dakika Tatu","https://www.youtube.com/watch?v=SMQzbcp3-rg","Daddy Owen",1335992400,"daddyowen","no"
"1017","1057_https://www.youtube.com/watch?v=tZ-88abryyQ",46070.3014705882,1,45184,46971,92.4411764705882,90,98,"Kiriro","https://www.youtube.com/watch?v=tZ-88abryyQ","Daddy Owen Allan Aaron
Kerah",1334696400,"allan","yes"
"1018","1057_https://www.youtube.com/watch?v=tZ-88abryyQ",46070.3014705882,1,45184,46971,92.4411764705882,90,98,"Kiriro","https://www.youtube.com/watch?v=tZ-88abryyQ","Daddy Owen Allan Aaron
Kerah",1334696400,"daddyowen","yes"
"1019","1058_https://www.youtube.com/watch?v=lsxT2PTVEPQ",71878.8014705882,2,69344,74402,227.558823529412,219,234,"Tobina (Kupe De Calle)","https://www.youtube.com/watch?v=lsxT2PTVEPQ","Daddy Owen Dunco 
Kerah",1334696400,"dunco","yes"
"1020","1058_https://www.youtube.com/watch?v=lsxT2PTVEPQ",71878.8014705882,2,69344,74402,227.558823529412,219,234,"Tobina (Kupe De Calle)","https://www.youtube.com/watch?v=lsxT2PTVEPQ","Daddy Owen Dunco 
Kerah",1334696400,"daddyowen","yes"
"1021","1063_https://www.youtube.com/watch?v=2zK6ENaxqcA",1546.03676470588,0,1446,1633,39.0220588235294,37,41,"Warrior","https://www.youtube.com/watch?v=2zK6ENaxqcA","TPKsons  Dafari",1421442000,"tpksons","yes"
"1022","1063_https://www.youtube.com/watch?v=2zK6ENaxqcA",1546.03676470588,0,1446,1633,39.0220588235294,37,41,"Warrior","https://www.youtube.com/watch?v=2zK6ENaxqcA","TPKsons  Dafari",1421442000,"dafari","yes"
